Yr,Lg,Series,Date,,TeamW,GamesW,,TeamL,GamesL
2017,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2017,,Boston Celtics (1),4,,Chicago Bulls (8),2
2017,NBA,Eastern Conf First Round,Apr 15 - Apr 23 2017,,Cleveland Cavaliers (2),4,,Indiana Pacers (7),0
2017,NBA,Eastern Conf First Round,Apr 15 - Apr 27 2017,,Toronto Raptors (3),4,,Milwaukee Bucks (6),2
2017,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2017,,Washington Wizards (4),4,,Atlanta Hawks (5),2
2017,NBA,Western Conf First Round,Apr 16 - Apr 24 2017,,Golden State Warriors (1),4,,Portland Trail Blazers (8),0
2017,NBA,Western Conf First Round,Apr 15 - Apr 27 2017,,San Antonio Spurs (2),4,,Memphis Grizzlies (7),2
2017,NBA,Western Conf First Round,Apr 16 - Apr 25 2017,,Houston Rockets (3),4,,Oklahoma City Thunder (6),1
2017,NBA,Western Conf First Round,Apr 15 - Apr 30 2017,,Utah Jazz (5),4,,Los Angeles Clippers (4),3
2017,NBA,Eastern Conf Semifinals,May 1 - May 7 2017,,Cleveland Cavaliers (2),4,,Toronto Raptors (3),0
2017,NBA,Eastern Conf Semifinals,Apr 30 - May 15 2017,,Boston Celtics (1),4,,Washington Wizards (4),3
2017,NBA,Western Conf Semifinals,May 2 - May 8 2017,,Golden State Warriors (1),4,,Utah Jazz (5),0
2017,NBA,Western Conf Semifinals,May 1 - May 11 2017,,San Antonio Spurs (2),4,,Houston Rockets (3),2
2017,NBA,Western Conf Finals,May 14 - May 22 2017,,Golden State Warriors (1),4,,San Antonio Spurs (2),0
2017,NBA,Eastern Conf Finals,May 17 - May 25 2017,,Cleveland Cavaliers (2),4,,Boston Celtics (1),1
2017,NBA,Finals,Jun 1 - Jun 12 2017,,Golden State Warriors (1),4,,Cleveland Cavaliers (2),1
2016,NBA,Eastern Conf First Round,Apr 17 - Apr 24 2016,,Cleveland Cavaliers (1),4,,Detroit Pistons (8),0
2016,NBA,Eastern Conf First Round,Apr 16 - May 1 2016,,Toronto Raptors (2),4,,Indiana Pacers (7),3
2016,NBA,Eastern Conf First Round,Apr 17 - May 1 2016,,Miami Heat (3),4,,Charlotte Hornets (6),3
2016,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2016,,Atlanta Hawks (4),4,,Boston Celtics (5),2
2016,NBA,Western Conf First Round,Apr 16 - Apr 27 2016,,Golden State Warriors (1),4,,Houston Rockets (8),1
2016,NBA,Western Conf First Round,Apr 17 - Apr 24 2016,,San Antonio Spurs (2),4,,Memphis Grizzlies (7),0
2016,NBA,Western Conf First Round,Apr 16 - Apr 25 2016,,Oklahoma City Thunder (3),4,,Dallas Mavericks (6),1
2016,NBA,Western Conf First Round,Apr 17 - Apr 29 2016,,Portland Trail Blazers (5),4,,Los Angeles Clippers (4),2
2016,NBA,Eastern Conf Semifinals,May 2 - May 8 2016,,Cleveland Cavaliers (1),4,,Atlanta Hawks (4),0
2016,NBA,Eastern Conf Semifinals,May 3 - May 15 2016,,Toronto Raptors (2),4,,Miami Heat (3),3
2016,NBA,Western Conf Semifinals,May 1 - May 11 2016,,Golden State Warriors (1),4,,Portland Trail Blazers (5),1
2016,NBA,Western Conf Semifinals,Apr 30 - May 12 2016,,Oklahoma City Thunder (3),4,,San Antonio Spurs (2),2
2016,NBA,Eastern Conf Finals,May 17 - May 27 2016,,Cleveland Cavaliers (1),4,,Toronto Raptors (2),2
2016,NBA,Western Conf Finals,May 16 - May 30 2016,,Golden State Warriors (1),4,,Oklahoma City Thunder (3),3
2016,NBA,Finals,Jun 2 - Jun 19 2016,,Cleveland Cavaliers (1),4,,Golden State Warriors (1),3
2015,NBA,Eastern Conf First Round,Apr 19 - May 1 2015,,Atlanta Hawks (1),4,,Brooklyn Nets (8),2
2015,NBA,Eastern Conf First Round,Apr 19 - Apr 26 2015,,Cleveland Cavaliers (2),4,,Boston Celtics (7),0
2015,NBA,Eastern Conf First Round,Apr 18 - Apr 30 2015,,Chicago Bulls (3),4,,Milwaukee Bucks (6),2
2015,NBA,Eastern Conf First Round,Apr 18 - Apr 26 2015,,Washington Wizards (5),4,,Toronto Raptors (4),0
2015,NBA,Western Conf First Round,Apr 18 - Apr 25 2015,,Golden State Warriors (1),4,,New Orleans Pelicans (8),0
2015,NBA,Western Conf First Round,Apr 18 - Apr 28 2015,,Houston Rockets (2),4,,Dallas Mavericks (7),1
2015,NBA,Western Conf First Round,Apr 19 - May 2 2015,,Los Angeles Clippers (3),4,,San Antonio Spurs (6),3
2015,NBA,Western Conf First Round,Apr 19 - Apr 29 2015,,Memphis Grizzlies (5),4,,Portland Trail Blazers (4),1
2015,NBA,Eastern Conf Semifinals,May 4 - May 14 2015,,Cleveland Cavaliers (2),4,,Chicago Bulls (3),2
2015,NBA,Eastern Conf Semifinals,May 3 - May 15 2015,,Atlanta Hawks (1),4,,Washington Wizards (5),2
2015,NBA,Western Conf Semifinals,May 4 - May 17 2015,,Houston Rockets (2),4,,Los Angeles Clippers (3),3
2015,NBA,Western Conf Semifinals,May 3 - May 15 2015,,Golden State Warriors (1),4,,Memphis Grizzlies (5),2
2015,NBA,Eastern Conf Finals,May 20 - May 26 2015,,Cleveland Cavaliers (2),4,,Atlanta Hawks (1),0
2015,NBA,Western Conf Finals,May 19 - May 27 2015,,Golden State Warriors (1),4,,Houston Rockets (2),1
2015,NBA,Finals,Jun 4 - Jun 16 2015,,Golden State Warriors (1),4,,Cleveland Cavaliers (2),2
2014,NBA,Eastern Conf First Round,Apr 19 - May 3 2014,,Indiana Pacers (1),4,,Atlanta Hawks (8),3
2014,NBA,Eastern Conf First Round,Apr 20 - Apr 28 2014,,Miami Heat (2),4,,Charlotte Bobcats (7),0
2014,NBA,Eastern Conf First Round,Apr 19 - May 4 2014,,Brooklyn Nets (6),4,,Toronto Raptors (3),3
2014,NBA,Eastern Conf First Round,Apr 20 - Apr 29 2014,,Washington Wizards (5),4,,Chicago Bulls (4),1
2014,NBA,Western Conf First Round,Apr 20 - May 4 2014,,San Antonio Spurs (1),4,,Dallas Mavericks (8),3
2014,NBA,Western Conf First Round,Apr 19 - May 3 2014,,Oklahoma City Thunder (2),4,,Memphis Grizzlies (7),3
2014,NBA,Western Conf First Round,Apr 19 - May 3 2014,,Los Angeles Clippers (3),4,,Golden State Warriors (6),3
2014,NBA,Western Conf First Round,Apr 20 - May 2 2014,,Portland Trail Blazers (5),4,,Houston Rockets (4),2
2014,NBA,Eastern Conf Semifinals,May 5 - May 15 2014,,Indiana Pacers (1),4,,Washington Wizards (5),2
2014,NBA,Eastern Conf Semifinals,May 6 - May 14 2014,,Miami Heat (2),4,,Brooklyn Nets (6),1
2014,NBA,Western Conf Semifinals,May 6 - May 14 2014,,San Antonio Spurs (1),4,,Portland Trail Blazers (5),1
2014,NBA,Western Conf Semifinals,May 5 - May 15 2014,,Oklahoma City Thunder (2),4,,Los Angeles Clippers (3),2
2014,NBA,Eastern Conf Finals,May 18 - May 30 2014,,Miami Heat (2),4,,Indiana Pacers (1),2
2014,NBA,Western Conf Finals,May 19 - May 31 2014,,San Antonio Spurs (1),4,,Oklahoma City Thunder (2),2
2014,NBA,Finals,Jun 5 - Jun 15 2014,,San Antonio Spurs (1),4,,Miami Heat (2),1
2013,NBA,Eastern Conf First Round,Apr 21 - Apr 28 2013,,Miami Heat (1),4,,Milwaukee Bucks (8),0
2013,NBA,Eastern Conf First Round,Apr 20 - May 3 2013,,New York Knicks (2),4,,Boston Celtics (7),2
2013,NBA,Eastern Conf First Round,Apr 21 - May 3 2013,,Indiana Pacers (3),4,,Atlanta Hawks (6),2
2013,NBA,Eastern Conf First Round,Apr 20 - May 4 2013,,Chicago Bulls (5),4,,Brooklyn Nets (4),3
2013,NBA,Western Conf First Round,Apr 21 - May 3 2013,,Oklahoma City Thunder (1),4,,Houston Rockets (8),2
2013,NBA,Western Conf First Round,Apr 21 - Apr 28 2013,,San Antonio Spurs (2),4,,Los Angeles Lakers (7),0
2013,NBA,Western Conf First Round,Apr 20 - May 2 2013,,Golden State Warriors (6),4,,Denver Nuggets (3),2
2013,NBA,Western Conf First Round,Apr 20 - May 3 2013,,Memphis Grizzlies (5),4,,Los Angeles Clippers (4),2
2013,NBA,Eastern Conf Semifinals,May 6 - May 15 2013,,Miami Heat (1),4,,Chicago Bulls (5),1
2013,NBA,Eastern Conf Semifinals,May 5 - May 18 2013,,Indiana Pacers (3),4,,New York Knicks (2),2
2013,NBA,Western Conf Semifinals,May 5 - May 15 2013,,Memphis Grizzlies (5),4,,Oklahoma City Thunder (1),1
2013,NBA,Western Conf Semifinals,May 6 - May 16 2013,,San Antonio Spurs (2),4,,Golden State Warriors (6),2
2013,NBA,Eastern Conf Finals,May 22 - Jun 3 2013,,Miami Heat (1),4,,Indiana Pacers (3),3
2013,NBA,Western Conf Finals,May 19 - May 27 2013,,San Antonio Spurs (2),4,,Memphis Grizzlies (5),0
2013,NBA,Finals,Jun 6 - Jun 20 2013,,Miami Heat (1),4,,San Antonio Spurs (2),3
2012,NBA,Eastern Conf First Round,Apr 28 - May 10 2012,,Philadelphia 76ers (8),4,,Chicago Bulls (1),2
2012,NBA,Eastern Conf First Round,Apr 28 - May 9 2012,,Miami Heat (2),4,,New York Knicks (7),1
2012,NBA,Eastern Conf First Round,Apr 28 - May 8 2012,,Indiana Pacers (3),4,,Orlando Magic (6),1
2012,NBA,Eastern Conf First Round,Apr 29 - May 10 2012,,Boston Celtics (4),4,,Atlanta Hawks (5),2
2012,NBA,Western Conf First Round,Apr 29 - May 7 2012,,San Antonio Spurs (1),4,,Utah Jazz (8),0
2012,NBA,Western Conf First Round,Apr 28 - May 5 2012,,Oklahoma City Thunder (2),4,,Dallas Mavericks (7),0
2012,NBA,Western Conf First Round,Apr 29 - May 12 2012,,Los Angeles Lakers (3),4,,Denver Nuggets (6),3
2012,NBA,Western Conf First Round,Apr 29 - May 13 2012,,Los Angeles Clippers (5),4,,Memphis Grizzlies (4),3
2012,NBA,Eastern Conf Semifinals,May 13 - May 24 2012,,Miami Heat (2),4,,Indiana Pacers (3),2
2012,NBA,Eastern Conf Semifinals,May 12 - May 26 2012,,Boston Celtics (4),4,,Philadelphia 76ers (8),3
2012,NBA,Western Conf Semifinals,May 15 - May 20 2012,,San Antonio Spurs (1),4,,Los Angeles Clippers (5),0
2012,NBA,Western Conf Semifinals,May 14 - May 21 2012,,Oklahoma City Thunder (2),4,,Los Angeles Lakers (3),1
2012,NBA,Western Conf Finals,May 27 - Jun 6 2012,,Oklahoma City Thunder (2),4,,San Antonio Spurs (1),2
2012,NBA,Eastern Conf Finals,May 28 - Jun 9 2012,,Miami Heat (2),4,,Boston Celtics (4),3
2012,NBA,Finals,Jun 12 - Jun 21 2012,,Miami Heat (2),4,,Oklahoma City Thunder (2),1
2011,NBA,Eastern Conf First Round,Apr 16 - Apr 26 2011,,Chicago Bulls (1),4,,Indiana Pacers (8),1
2011,NBA,Eastern Conf First Round,Apr 16 - Apr 27 2011,,Miami Heat (2),4,,Philadelphia 76ers (7),1
2011,NBA,Eastern Conf First Round,Apr 17 - Apr 24 2011,,Boston Celtics (3),4,,New York Knicks (6),0
2011,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2011,,Atlanta Hawks (5),4,,Orlando Magic (4),2
2011,NBA,Western Conf First Round,Apr 17 - Apr 29 2011,,Memphis Grizzlies (8),4,,San Antonio Spurs (1),2
2011,NBA,Western Conf First Round,Apr 17 - Apr 28 2011,,Los Angeles Lakers (2),4,,New Orleans Hornets (7),2
2011,NBA,Western Conf First Round,Apr 16 - Apr 28 2011,,Dallas Mavericks (3),4,,Portland Trail Blazers (6),2
